NOM ESTACIÓ,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DESEMBRE
MARIA CRISTINA,114322,124435,156105,138582,157272,166970,149679,113577,181366,210917,223258,195628
LES CORTS,80597,90146,108460,101550,110792,116464,107127,87783,130746,158610,159715,141176
PL. DEL CENTRE,65776,68474,82669,78763,84892,87446,79270,60940,93995,113338,117767,102792
SANTS ESTACIÓ,107702,115561,144710,134852,157567,166412,163394,147834,194456,217298,224376,193780
TARRAGONA,43502,48177,58032,55454,62536,63959,57382,45306,78541,87551,89987,75777
ESPANYA,146507,166261,203107,212479,246733,264825,270464,229069,266474,321105,314526,292098
POBLE SEC,185557,195912,233024,215477,237238,242656,231672,187893,258813,299965,309928,276911
PARAL.LEL,181658,191669,226710,212325,233527,244629,242672,211566,266737,320019,324269,284354
DRASSANES,112347,124613,151476,144441,167901,183646,193746,194602,228426,276400,259717,241339
LICEU,180714,187468,222281,218155,248045,275853,322318,321416,360644,427644,412391,400954
CATALUNYA,289713,298857,390447,372240,423940,447607,467847,400303,518632,624031,648846,627437
P. DE GRÀCIA,127021,141275,173919,167915,185389,194402,201115,179855,236214,269798,288434,251637
DIAGONAL,165206,180675,210244,200164,220999,234153,237176,198579,263767,308777,324225,295023
FONTANA,178196,191707,224684,210789,234719,235877,232347,181179,259646,301601,304921,275618
LESSEPS,174751,190610,226703,216944,239940,247549,250675,217927,284429,332243,337971,291986
VALLCARCA,106015,111505,131662,122191,135382,138367,134201,105762,148620,169140,176480,156551
PENITENTS,55012,59723,71974,66789,71647,70124,63234,45491,74813,85305,90233,73973
VALL D´HEBRON,95134,103787,121143,113502,122267,122301,111840,85905,127448,148096,153850,129403
MONTBAU,60045,65023,76277,71453,77225,78686,70893,54112,78624,91672,93400,81674
MUNDET,61878,72640,90683,87863,91513,81716,64480,49131,115559,173667,185172,122301
VALLDAURA,53582,58351,66399,65252,69212,68441,56180,43080,70449,81881,84611,73535
CANYELLES,68620,75283,87045,82220,87511,86769,73110,52597,88173,107695,106984,91691
ROQUETES,67661,71524,82040,78765,83347,81793,72705,60205,80774,91111,93670,83393
TRINITAT NOVA,43864,45800,54784,52160,56046,54739,53220,44149,60236,67403,67554,58117
LA PAU,36214,38226,45621,43726,46741,47842,46104,37375,49520,55788,58025,53889
BESÒS,51303,53341,65078,62157,66486,68705,62296,51952,70156,78615,81719,77091
BESÒS MAR,83072,87649,102112,97388,105328,106162,102653,88751,108829,117478,122313,116196
MARESME - FÒRUM,76581,71266,105332,101943,116671,129697,147906,131214,155771,170268,178777,170223
SELVA DE MAR,61991,66807,79921,76475,83812,93604,93467,78550,98138,109392,114960,99204
POBLENOU,122543,131067,154740,147301,162724,176067,167926,139838,187932,195838,206908,181160
LLACUNA,66390,72723,87558,85176,98229,101854,99876,96544,126768,146462,152936,122174
BOGATELL,47549,53136,65207,60413,67353,76515,72995,62982,89054,102393,105618,83364
CIUTADELLA,61220,68774,88712,88691,112467,141480,140380,127334,143599,179030,175651,132000
BARCELONETA,144247,159511,196665,188255,227551,267833,289403,286727,300976,323058,278993,259599
JAUME I,135051,143273,161930,159381,182611,192995,210814,190148,241106,288219,277825,272873
URQUINAONA,137266,139504,178326,170852,194060,203807,206859,178140,233925,277043,296995,284496
P. DE GRÀCIA,88306,93645,116876,112294,123428,131824,141809,117451,151323,183263,196916,188692
GIRONA,60774,69366,78749,75299,85288,86233,80285,63411,97474,110721,114798,92744
VERDAGUER,75984,83579,97585,92191,103016,108056,103144,84551,116740,132995,138809,120447
JOANIC,194303,204163,242368,232276,254524,269539,250427,205632,276234,320100,338779,294003
ALFONS X,128976,134840,159040,149566,159939,166533,158983,126415,172651,201065,208034,184883
GUINARDÓ,84634,87285,104614,102109,109310,114763,102997,75335,111307,128749,143268,123626
MARAGALL,42443,43996,51532,49055,52752,53906,49503,39035,53652,60713,63040,58589
LLUCMAJOR,149040,154895,183972,174492,187471,191850,178886,139474,187964,211323,217922,204223
VIA JÚLIA,129494,136733,159671,149606,160270,163060,180781,144662,156922,173901,179149,170390
TRINITAT NOVA,33985,37045,45637,44573,47854,47315,2831,2349,43094,48033,50726,45794
CORNELLÀ CENTRE,150353,165306,197536,185275,202661,203602,195499,149905,203718,232396,229620,212705
GAVARRA,60945,69302,84314,79649,86195,86141,82780,64315,88880,98887,102520,92487
ST. ILDEFONS,156526,167164,196309,185138,198708,204070,199180,167639,199735,218287,219526,219343
CAN BOIXERES,56481,62002,73914,69303,75260,75849,68846,52750,74276,82941,85133,77144
CAN VIDALET,185809,195504,229581,217145,235478,239994,231210,192334,233090,254824,260535,254993
PUBILLA CASAS,280565,297104,347290,330231,357599,358109,343449,270493,318316,347571,352586,340426
ERNEST LLUCH,0,0,0,0,0,0,11958,58260,86195,108337,118280,107354
COLLBLANC,278733,296608,354439,332842,366676,376697,365850,310107,377301,426428,439600,415260
BADAL,186644,189213,230492,220202,241003,244469,232205,193428,255350,288832,295061,273453
PL. DE SANTS,150877,166654,192443,184911,200660,200718,175221,139929,201641,233181,235513,211713
SANTS ESTACIÓ,233940,247348,314391,297316,362153,378532,391971,369919,439852,466520,488996,427633
ENTENÇA,156009,171205,202088,189423,200519,206233,189576,133696,209228,243957,258193,223144
H. CLÍNIC,309725,345250,402655,382474,409476,410690,364680,263051,421776,486463,516825,430900
DIAGONAL,440395,479761,560042,522055,558483,575172,546285,389702,607962,698680,736415,637354
VERDAGUER,155853,175155,204748,192503,212343,217938,205563,158073,232801,267039,279314,234164
SGDA. FAMÍLIA,206794,226486,267280,256307,294290,319424,340171,312888,373115,434509,430805,430575
H. DE ST. PAU,181454,193909,226568,216575,237238,243665,237368,184005,261301,294945,315887,284955
CAMP DE L´ARPA,130552,139264,164853,159086,172176,174642,159892,120171,174285,194197,203319,185197
SAGRERA,257613,279959,334910,314747,343761,345792,324897,254178,357167,417171,435886,381913
CONGRÉS,76831,81491,97325,92235,98688,100285,91069,65296,95797,110692,116758,104655
MARAGALL,142136,146662,174339,164753,174111,179692,165401,130030,179875,202915,211684,194922
VIRREI AMAT,180101,190434,222936,213819,231315,232309,224334,173161,236722,263844,271654,253256
VILAPICINA,133601,140671,165059,157362,169459,170763,160583,129125,169787,188233,192417,175484
HORTA,140077,146326,171092,163990,178563,179782,167597,124159,184503,200088,210903,196785
EL CARMEL,152393,158424,184804,175464,186799,192819,182197,152993,190989,210971,215396,205645
EL COLL | LA TEIXONERA,85055,88083,101891,96700,103180,104800,97094,80568,104382,116404,117542,111138
VALL D´HEBRON,62224,67998,79279,74268,79973,80061,72759,55721,82997,96882,100796,84344
SAGRERA,18999,20734,24356,22958,25003,24984,23633,18532,24858,29563,31110,27431
ONZE DE SETEMBRE,35322,44191,51257,48658,52288,52358,48252,34578,51926,58011,58481,52591
BON PASTOR,64803,67772,81584,77894,83419,87747,86468,70961,88844,98949,101137,94850
LLEFIÀ,68671,70804,84184,79720,85018,87140,83487,70737,85688,93047,89043,87653
LA SALUT,89264,95865,113964,107085,115477,119530,114628,89082,117139,125998,123447,121599
GORG,24285,26830,32376,30929,33252,35659,35556,28534,36416,38640,38192,37309
CAN PEIXAUET,52668,55135,62992,61045,65840,65865,62252,45551,62454,62246,68293,66129
SANTA ROSA,56871,59743,68722,65252,69396,69820,68506,58116,71827,72580,79870,76705
FONDO,17068,17826,21508,20369,21756,22473,22020,19005,22507,24882,25182,24663
ESGLÉSIA MAJOR,16646,17927,20423,19081,20248,20540,17713,13272,19265,22177,24243,20679
SINGUERLÍN,35372,36602,41007,40755,43399,43034,38314,28359,39214,51844,50071,44606
CAN ZAM,15821,17016,20633,19549,21251,22301,20440,17239,24837,26157,24992,22745
EROPORT T1,29923,20920,25980,30056,48278,57668,68592,82334,80247,79529,72640,72392
AEROPORT T2,4349,3981,4767,4780,6455,12485,24597,29995,33613,40873,38494,32447
MAS BLAU,30802,27654,33184,33371,38007,40864,37116,37142,33959,31996,33994,30523
PARC NOU,19152,20672,25739,24632,27466,28117,28004,24094,29851,34012,33531,28291
CÈNTRIC,47935,50349,63711,60328,65513,69141,67803,57411,66113,84761,87150,82396
EL PRAT ESTACIÓ,27123,28340,36276,33580,37344,39077,37747,32812,42387,41416,46834,41131
LES MORERES,33985,37149,45385,41619,46617,46346,44599,35466,50967,58300,58175,52571
MERCABARNA,31048,34130,40054,37693,38924,41720,43293,39348,43469,43024,36771,43197
PARC LOGÍSTIC,11941,14401,15751,14167,14566,15623,16226,15260,16408,16525,15906,13670
FIRA,16007,16663,20108,18676,21479,26807,24655,20981,25680,29653,32649,26419
EUROPA - FIRA,51054,49795,74281,70590,80331,94758,90375,84345,100266,108532,113742,110733
CAN TRIES - GORNAL,31690,35096,42017,40239,43326,43950,40093,30324,45287,53392,53566,47192
TORRASSA,29016,30717,36675,34658,38115,39076,37955,33782,39425,44066,44666,43615
COLLBLANC,27875,30100,35553,33194,36745,37508,36394,30456,36726,40875,43505,40535
ZONA UNIVERSITÀRIA,21230,24725,31641,30476,33434,32578,23758,16692,43835,56444,50819,35202
ZAL - RIU VELL,0,0,0,0,0,0,0,0,0,0,14381,19134
ECOPARC,0,0,0,0,0,0,0,0,0,0,4862,7155
P. COMERCIAL - LA FACTORIA,0,0,0,0,0,0,0,0,0,0,4355,5392
ZONA FRANCA,12794,13451,15590,14555,15254,16073,16365,14857,16652,16575,10835,8817
FOC,25422,29087,33775,31101,33624,32081,30193,24311,37044,45665,45697,37016
FONERIA,36209,36678,43181,41170,44105,44336,41976,35142,40629,50039,55016,52554
CIUTAT DE LA JUSTÍCIA,19595,22163,26214,24320,27222,28181,27016,20173,29305,33089,37525,34270
PROVENÇANA,28790,30080,34769,33657,36601,37649,36105,29341,37460,41627,43878,42353
TRINITAT NOVA,4394,4789,5889,5744,6168,6096,566,470,5609,6240,6574,5924
CASA DE L'AIGUA,2651,2868,3202,2994,3148,1905,0,0,1336,3029,2815,2823
TORRE BARÓ|VALLBONA,20424,22250,24786,23007,24635,23480,4,0,12835,24176,23864,20173
CIUTAT MERIDIANA,31192,33288,37121,35453,37039,34187,4,0,19452,39707,37706,35366
CAN CUIÀS,18160,20219,22954,21577,21471,20646,26,0,11916,21881,21389,19875
