NOM ESTACIÓ,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DECEMBRE
ZONA FRANCA,12197,12438,13823,10962,13776,11926,10190,10065,11693,13992,14553,12362
FOC,56807,60923,68665,58496,69650,57729,54410,39289,59147,71247,70580,51470
FONERIA,66347,66751,76334,67698,76497,69530,66081,56626,67705,74164,71928,66934
CIUTAT DE LA JUSTÍCIA,46463,48541,56451,49353,57203,52052,49242,39611,49802,56545,56505,48628
PROVENÇANA,55014,54792,63908,59556,66035,61307,58784,50839,61472,66759,61197,58180
TRINITAT NOVA,7498,7556,8469,7390,8430,7620,5954,5118,7209,8312,8367,7554
CASA DE L'AIGUA,3584,3660,4041,3293,4358,3594,2665,2199,3520,4109,4219,3415
TORRE BARÓ|VALLBONA,25275,24727,28593,24343,29132,25878,20483,17236,24101,27159,27248,23269
CIUTAT MERIDIANA,41975,41662,48282,43074,48581,43479,35254,29367,42191,46733,47507,42171
CAN CUIÀS,24126,23277,25976,22548,25360,23124,21250,17174,23555,25586,25597,23957
